"","region","saleYear","volume","volCS","volShare","volGrowth","medPrice","priceGrowth"
"28","auburn",2002,1685,33613,0.0501294142147383,-0.128104241490557,203950,-0.00458296931509217
"29","auburn",2003,2039,39941,0.0510502991913072,0.0183701523545448,214200,0.0502574160333424
"30","auburn",2004,1959,43322,0.0452195189511103,-0.114216377427025,222000,0.0364145658263306
"31","auburn",2005,2033,45181,0.0449967906863505,-0.00492548947724625,268000,0.207207207207207
"32","auburn",2006,1768,39609,0.0446363200282764,-0.00801103039962814,296000,0.104477611940297
"33","auburn",2007,1255,31419,0.0399439829402591,-0.105123744185112,307000,0.0371621621621621
"34","auburn",2008,758,20255,0.0374228585534436,-0.0631164996887296,285750,-0.0692182410423446
"35","auburn",2009,691,19232,0.0359297004991681,-0.0398996258434712,250000,-0.125109361329834
"36","auburn",2010,681,20732,0.0328477715608721,-0.0857766386994328,246900,-0.0123999999999995
"37","auburn",2011,1191,21948,0.0542646254784035,0.652003253183937,3e+05,0.215066828675577
"38","auburn",2012,1355,28077,0.0482601417530363,-0.110651896561175,225000,-0.249999999999999
"39","auburn",2013,1889,33382,0.0565873824216644,0.17254903044507,258912,0.15072
"40","auburn",2014,1545,31845,0.0485162505887895,-0.142631298488634,260000,0.00420219997528082
"41","auburn",2015,1687,34417,0.0490164744167127,0.0103104387056407,296000,0.138461538461537
"42","auburn",2016,1835,33824,0.0542514191106906,0.106799698596704,319900,0.0807432432432429
"43","beaux arts",1996,10,27516,0.000363424916412269,0.0591110626544555,372500,-0.143678160919541
"44","beaux arts",1997,4,31821,0.000125703152006537,-0.654115206938814,274916.75,-0.261968456375838
"45","beaux arts",1998,7,34021,0.000205755268804562,0.636834602157492,590000,1.146104229735
"46","beaux arts",1999,2,33331,6.00042002940206e-05,-0.708371014542446,589500,-0.000847457627118908
"47","beaux arts",2000,9,31196,0.000288498525451981,3.80797217591998,490000,-0.168787107718406
"48","beaux arts",2001,6,30855,0.000194457948468644,-0.325965537730244,502475,0.0254591836734694
"49","beaux arts",2002,4,33613,0.000119001576770892,-0.388034391455686,444000,-0.116373948952683
"50","beaux arts",2003,4,39941,0.000100147717883879,-0.158433689692296,773500,0.742117117117117
"51","beaux arts",2004,8,43322,0.000184663681270486,0.843913023406122,605000,-0.217840982546866
"52","beaux arts",2005,13,45181,0.000287731568579713,0.558138376751288,915000,0.512396694214876
"53","beaux arts",2006,10,39609,0.000252467873463102,-0.122557616081815,847500,-0.0737704918032778
"54","beaux arts",2007,6,31419,0.000190967249116776,-0.24359782297336,1195000,0.410029498525072
